attack,mode,mean_bit_accuracy,message_success_rate,num_samples
center_crop_0.5,A_base,0.503125,0.0000,50
center_crop_0.5,B_ms,0.561250,0.1200,50
center_crop_0.5,C_ms_geo,0.561250,0.1200,50
center_crop_0.5,D_ecc,0.977500,0.8600,50
center_crop_0.5,E_ms_ecc,0.987500,0.9400,50
center_crop_0.5,F_ms_ecc_geo,0.987500,0.9400,50
flip_h,A_base,0.639375,0.0000,50
flip_h,B_ms,0.613125,0.0000,50
flip_h,C_ms_geo,0.613125,0.0000,50
flip_h,D_ecc,0.885000,0.1800,50
flip_h,E_ms_ecc,0.885000,0.1800,50
flip_h,F_ms_ecc_geo,0.885000,0.1800,50
jpeg_q30,A_base,0.997500,0.9200,50
jpeg_q30,B_ms,0.840000,0.4400,50
jpeg_q30,C_ms_geo,0.840000,0.4400,50
jpeg_q30,D_ecc,1.000000,1.0000,50
jpeg_q30,E_ms_ecc,1.000000,1.0000,50
jpeg_q30,F_ms_ecc_geo,1.000000,1.0000,50
none,A_base,1.000000,1.0000,50
none,B_ms,0.845000,0.3800,50
none,C_ms_geo,0.845000,0.3800,50
none,D_ecc,1.000000,1.0000,50
none,E_ms_ecc,1.000000,1.0000,50
none,F_ms_ecc_geo,1.000000,1.0000,50
random_crop_0.5,A_base,0.494375,0.0000,50
random_crop_0.5,B_ms,0.568750,0.0000,50
random_crop_0.5,C_ms_geo,0.568750,0.0000,50
random_crop_0.5,D_ecc,0.920000,0.6000,50
random_crop_0.5,E_ms_ecc,0.845000,0.4800,50
random_crop_0.5,F_ms_ecc_geo,0.845000,0.4800,50
resize_0.25,A_base,0.945625,0.1000,50
resize_0.25,B_ms,0.871875,0.0000,50
resize_0.25,C_ms_geo,0.871875,0.0000,50
resize_0.25,D_ecc,0.870000,0.0000,50
resize_0.25,E_ms_ecc,0.875000,0.0400,50
resize_0.25,F_ms_ecc_geo,0.875000,0.0400,50
rotate_73,A_base,0.428750,0.0000,50
rotate_73,B_ms,0.460625,0.0000,50
rotate_73,C_ms_geo,0.858125,0.0000,50
rotate_73,D_ecc,1.000000,1.0000,50
rotate_73,E_ms_ecc,0.975000,0.9600,50
rotate_73,F_ms_ecc_geo,0.975000,0.9600,50
